"st","YEAR.id","State Name","Medicaid","med_month","med_day","med_year","population","Ever_medicaid","Estab_pct_ACS","Estab_pct_CPS","naics","estab","industry","estab_pop","Labor.Force"
1,2001,"Alabama",0,NA,NA,NA,4467634,0,0.059916670096379,0.0570374524056189,"00",229687,"total",0.108578211463899,2115406
1,2002,"Alabama",0,NA,NA,NA,4480089,0,0.0625235142544951,0.0478592011628885,"00",239614,"total",0.113768022702896,2106163
1,2003,"Alabama",0,NA,NA,NA,4503491,0,0.0661439575043182,0.061984979381136,"00",253759,"total",0.119684205263749,2120238
1,2004,"Alabama",0,NA,NA,NA,4530729,0,0.0580755104792214,0.0610225570174574,"00",266585,"total",0.124778664549772,2136463
1,2005,"Alabama",0,NA,NA,NA,4569805,0,0.0599515287289493,0.0507446903978205,"00",282604,"total",0.131686452749883,2146037
1,2006,"Alabama",0,NA,NA,NA,4628981,0,0.060809118757306,0.0521683523393432,"00",293874,"total",0.135562430892332,2167813
1,2007,"Alabama",0,NA,NA,NA,4672840,0,0.0613533054129206,0.0461145084228236,"00",313813,"total",0.144241119978084,2175614
1,2008,"Alabama",0,NA,NA,NA,4718206,0,0.0561091226550218,0.0498260189843506,"00",311388,"total",0.14306882040863,2176491
1,2009,"Alabama",0,NA,NA,NA,4757938,0,0.0549321157811534,0.0538816536169874,"00",313667,"total",0.145014593137411,2163003
1,2010,"Alabama",0,NA,NA,NA,4785298,0,0.0546293611032031,0.0687931855267423,"00",320605,"total",0.145991467419047,2196053
1,2011,"Alabama",0,NA,NA,NA,4798834,0,0.0512492635190254,0.0599465666015644,"00",321641,"total",0.14602310284963,2202672
1,2012,"Alabama",0,NA,NA,NA,4815564,0,0.0509967737608126,0.0393737510598078,"00",315382,"total",0.144913738321579,2176343
1,2013,"Alabama",0,NA,NA,NA,4830460,0,0.0527538210180705,0.0458678859317878,"00",311578,"total",0.14331975164742,2174006
1,2014,"Alabama",0,NA,NA,NA,4842481,0,0.0506733234079232,0.0403759441288802,"00",318136,"total",0.147227384804484,2160848
1,2015,"Alabama",0,NA,NA,NA,4853160,0,0.048558032334964,0.0452017655692813,"00",322025,"total",0.148983084330371,2161487
1,2016,"Alabama",0,NA,NA,NA,4864745,0,0.0494783965773859,0.0554931456313275,"00",324994,"total",0.148904546300089,2182566
1,2017,"Alabama",0,NA,NA,NA,4875120,0,0.0516020914392682,0.0523155197614626,"00",329993,"total",0.15089733230721,2186871
10,2001,"Delaware",0,NA,NA,NA,795699,1,0.0476829502082643,0.0568677994813624,"00",42303,"total",0.100294936294709,421786
10,2002,"Delaware",0,NA,NA,NA,806169,1,0.0566318400817197,0.0490341372814823,"00",44489,"total",0.106743797131841,416783
10,2003,"Delaware",0,NA,NA,NA,818003,1,0.0527912228202833,0.0525903985006417,"00",47566,"total",0.114572418892911,415161
10,2004,"Delaware",0,NA,NA,NA,830803,1,0.0549114230068715,0.0502581056290359,"00",49487,"total",0.11771884210351,420383
10,2005,"Delaware",0,NA,NA,NA,845150,1,0.0494762581066236,0.0553322315754282,"00",52314,"total",0.120982680749013,432409
10,2006,"Delaware",0,NA,NA,NA,859268,1,0.049793631663929,0.0454119979133394,"00",52979,"total",0.120083683905128,441184
10,2007,"Delaware",0,NA,NA,NA,871749,1,0.0478188128948486,0.0538726631499489,"00",55333,"total",0.124743841487196,443573
10,2008,"Delaware",0,NA,NA,NA,883874,1,0.0377500281538848,0.0738801138064239,"00",53210,"total",0.119026581335576,447043
10,2009,"Delaware",0,NA,NA,NA,891730,1,0.0403918931733347,0.0434574483675183,"00",53667,"total",0.122667708954763,437499
10,2010,"Delaware",0,NA,NA,NA,899769,1,0.0340903633656839,0.0430505954106758,"00",53854,"total",0.123967874333305,434419
10,2011,"Delaware",0,NA,NA,NA,907316,1,0.0401498999359067,0.0475497697368229,"00",55418,"total",0.124999154161413,443347
10,2012,"Delaware",0,NA,NA,NA,915188,1,0.0413338488468925,0.0518013155526829,"00",56186,"total",0.126098870887019,445571
10,2013,"Delaware",0,NA,NA,NA,923638,1,0.0365102968708211,0.0543193424604404,"00",56861,"total",0.128433259247213,442728
10,2014,"Delaware",1,1,1,2014,932596,1,0.0399043519446063,0.043348345144425,"00",59078,"total",0.13064948793309,452187
10,2015,"Delaware",1,1,1,2014,941413,1,0.0375489081101385,0.0366395850798923,"00",60734,"total",0.130473825318805,465488
10,2016,"Delaware",1,1,1,2014,949216,1,0.0417050530208208,0.0391610202702839,"00",63121,"total",0.133772877936302,471852
10,2017,"Delaware",1,1,1,2014,957078,1,0.0433255343836108,0.0298811296512466,"00",65634,"total",0.137808096650856,476271
